*,シリーズ,鋼種,key,H,B,t,R,A,W,Ix,ix,Zx,Zpx,235,295,325,385,440
_,450x450,STKR,□-450x450x12,450,450,12,36,206.5,162,65400,17.8,2910,3370,FC,,FC,,
_,450x450,STKR,□-450x450x16,450,450,16,48,271.2,213,84100,17.6,3740,4380,FA,,FB,,
_,450x450,STKR,□-450x450x19,450,450,19,57,318.3,250,97100,17.5,4310,5090,FA,,FA,,
_,450x450,STKR,□-450x450x22,450,450,22,66,364.2,286,109000,17.3,4850,5780,FA,,FA,,
_,450x450,STKR,□-450x450x25,450,450,25,75,408.9,321,121000,17.2,5360,6430,FA,,,,
_,500x500,STKR,□-500x500x12,500,500,12,36,30.5,181,90800,19.8,3630,4200,FC,,FD,,
_,500x500,STKR,□-500x500x16,500,500,16,48,303.2,238,117000,19.6,4680,5460,FA,,FB,,
_,500x500,STKR,□-500x500x19,500,500,19,57,356.3,280,136000,19.5,5420,6370,FA,,FA,,
_,500x500,STKR,□-500x500x22,500,500,22,66,408.2,320,153000,19.4,6120,7240,FA,,FA,,
_,500x500,STKR,□-500x500x25,500,500,25,75,458.9,360,169000,19.2,6780,8070,FA,,,,
_,550x550,STKR,□-550x550x16,550,550,16,48,335.2,263,158000,21.7,5730,6670,FB,,FC,,
_,550x550,STKR,□-550x550x19,550,550,19,57,394.3,310,183000,21.5,6660,7790,FA,,FB,,
_,550x550,STKR,□-550x550x22,550,550,22,66,452.2,355,207000,21.4,7530,8870,FA,,FA,,
_,550x550,STKR,□-550x550x25,550,550,25,75,508.9,399,230000,21.3,8360,9910,FA,,,,
*,150x150,BCR,□-150x150x6,150,150,6,15,33.32,26.2,1130,5.82,150,178,,FA,,,
*,150x150,BCR,□-150x150x9,150,150,9,22.5,47.98,37.7,1540,5.66,205,248,,FA,,,
*,150x150,BCR,□-150x150x12,150,150,12,30,61.3,48.1,1850,5.5,247,307,,FA,,,
*,175x175,BCR,□-175x175x6,175,175,6,15,39.32,30.9,1840,6.84,210,246,,FA,,,
*,175x175,BCR,□-175x175x9,175,175,9,22.5,56.98,44.7,2550,6.68,291,348,,FA,,,
*,175x175,BCR,□-175x175x12,175,175,12,30,73.3,57.5,3120,6.52,356,437,,FA,,,
*,200x200,BCR,□-200x200x6,200,200,6,15,45.32,35.6,2800,7.86,280,327,,FC,,,
*,200x200,BCR,□-200x200x8,200,200,8,20,59.24,46.5,3570,7.76,357,421,,FA,,,
*,200x200,BCR,□-200x200x9,200,200,9,22.5,65.98,51.8,3920,7.71,392,465,,FA,,,
*,200x200,BCR,□-200x200x12,200,200,12,30,85.3,67,4860,7.55,486,588,,FA,,,
_,250x250,BCR,□-250x250x6,250,250,6,15,57.32,45,5620,9.9,450,521,,FC,,FD,
*,250x250,BCR,□-250x250x8,250,250,8,20,75.24,59.1,7230,9.8,578,676,,FB,,,
_,250x250,BCR,□-250x250x9,250,250,9,22.5,83.98,65.9,7980,9.75,639,750,,FA,,FB,
_,250x250,BCR,□-250x250x12,250,250,12,30,109.3,85.8,10100,9.59,805,959,,FA,,FA,
*,250x250,BCR,□-250x250x14,250,250,14,35,125.4,98.5,11300,9.49,903,1090,,FA,,,
_,250x250,BCR,□-250x250x16,250,250,16,40,141,111,12400,9.38,992,1210,,FA,,FA,
_,300x300,BCR,□-300x300x6,300,300,6,15,69.32,54.4,9890,11.9,660,760,,FD,,FD,
*,300x300,BCR,□-300x300x8,300,300,8,20,91.24,71.6,12800,11.8,853,991,,FC,,,
_,300x300,BCR,□-300x300x9,300,300,9,22.5,102,80.1,14200,11.8,946,1100,,FC,,FC,
_,300x300,BCR,□-300x300x12,300,300,12,30,133.3,105,18100,11.6,1200,1420,,FA,,FA,
*,300x300,BCR,□-300x300x14,300,300,14,35,153.4,120,20400,11.5,1360,1620,,FA,,,
_,300x300,BCR,□-300x300x16,300,300,16,40,173,136,22600,11.4,1510,1810,,FA,,FA,
_,300x300,BCR,□-300x300x19,300,300,19,47.5,201.2,158,25500,11.3,1700,2070,,FA,,FA,
*,300x300,BCR,□-300x300x22,300,300,22,55,228,179,28100,11.1,1870,2310,,FA,,,
_,350x350,BCR,□-350x350x9,350,350,9,22.5,120,94.2,23000,13.8,1310,1520,,FC,,FD,
_,350x350,BCR,□-350x350x12,350,350,12,30,157.3,123,29400,13.7,1680,1970,,FA,,FC,
*,350x350,BCR,□-350x350x14,350,350,14,35,181.4,142,33400,13.6,1910,2260,,FA,,,
_,350x350,BCR,□-350x350x16,350,350,16,40,205,161,37200,13.5,2130,2530,,FA,,FA,
_,350x350,BCR,□-350x350x19,350,350,19,47.5,239.2,188,42400,13.3,2420,2910,,FA,,FA,
_,350x350,BCR,□-350x350x22,350,350,22,55,272,214,47100,13.2,2690,3270,,FA,,FA,
*,350x350,BCR,□-350x350x25,350,350,25,62.5,303.5,238,51200,13,2930,3600,,FA,,,
_,400x400,BCR,□-400x400x9,400,400,9,22.5,138,108,34800,15.9,1740,2010,,FD,,FD,
_,400x400,BCR,□-400x400x12,400,400,12,30,181.3,142,44800,15.7,2240,2610,,FC,,FC,
*,400x400,BCR,□-400x400x14,400,400,14,35,209.4,164,51100,15.6,2560,3000,,FA,,,
_,400x400,BCR,□-400x400x16,400,400,16,40,237,186,57100,15.5,2850,3370,,FA,,FA,
_,400x400,BCR,□-400x400x19,400,400,19,47.5,277.2,218,65400,15.4,3270,3900,,FA,,FA,
_,400x400,BCR,□-400x400x22,400,400,22,55,316,248,73000,15.2,3650,4390,,FA,,FA,
_,400x400,BCR,□-400x400x25,400,400,25,62.5,353.5,278,80000,15,4000,4860,,FA,,FA,
_,450x450,BCR,□-450x450x9,450,450,9,22.5,156,122,50100,17.9,2230,2560,,FD,,FD,
_,450x450,BCR,□-450x450x12,450,450,12,30,205.3,161,64800,17.8,2880,3340,,FC,,FC,
*,450x450,BCR,□-450x450x14,450,450,14,35,237.4,186,74100,17.7,3290,3840,,FB,,,
_,450x450,BCR,□-450x450x16,450,450,16,40,269,211,82900,17.6,3690,4330,,FA,,FB,
_,450x450,BCR,□-450x450x19,450,450,19,47.5,315.2,247,95500,17.4,4240,5020,,FA,,FA,
_,450x450,BCR,□-450x450x22,450,450,22,55,360,283,107000,17.2,4760,5680,,FA,,FA,
_,450x450,BCR,□-450x450x25,450,450,25,62.5,403.5,317,118000,17.1,5240,6300,,FA,,FA,
_,450x450,BCR,□-450x450x28,450,450,28,70,445.7,350,128000,16.9,5680,6890,,FA,,,
*,500x500,BCR,□-500x500x9,500,500,9,22.5,174,137,69300,20,2770,3190,,,,FD,
_,500x500,BCR,□-500x500x12,500,500,12,30,229.3,180,90000,19.8,3600,4160,,FC,,FD,
*,500x500,BCR,□-500x500x14,500,500,14,35,265.4,208,103000,19.7,4120,4790,,FC,,,
_,500x500,BCR,□-500x500x16,500,500,16,40,301,236,116000,19.6,4630,5410,,FB,,FC,
_,500x500,BCR,□-500x500x19,500,500,19,47.5,353.2,277,134000,19.4,5340,6290,,FA,,FB,
_,500x500,BCR,□-500x500x22,500,500,22,55,404,317,150000,19.3,6010,7130,,FA,,FA,
_,500x500,BCR,□-500x500x25,500,500,25,62.5,453.5,356,166000,19.1,6640,7940,,FA,,FA,
_,500x500,BCR,□-500x500x28,500,500,28,70,501.7,394,181000,19,7230,8700,,FA,,,
_,550x550,BCR,□-550x550x16,550,550,16,40,333,261,156000,21.6,5670,6610,,FC,,FC,
_,550x550,BCR,□-550x550x19,550,550,19,47.5,391.2,307,181000,21.5,6570,7700,,FA,,FC,
_,550x550,BCR,□-550x550x22,550,550,22,55,448,352,204000,21.3,7420,8750,,FA,,FA,
_,550x550,BCR,□-550x550x25,550,550,25,62.5,503.5,395,226000,21.2,8210,9760,,FA,,FA,
_,550x550,BCR,□-550x550x28,550,550,28,70,557.7,438,246000,21,8960,10700,,FA,,,
*,450x450,BCP,□-450x450x12,450,450,12,42,202.8,159,63500,17.7,2820,3290,FC,,FC,,
_,450x450,BCP,□-450x450x16,450,450,16,56,264.6,208,80600,17.5,3580,4230,FA,,FB,,
_,450x450,BCP,□-450x450x19,450,450,19,66.5,309,243,92200,17.3,4100,4880,FA,,FA,FA,FA
_,450x450,BCP,□-450x450x22,450,450,22,77,351.7,276,103000,17.1,4560,5490,FA,,FA,FA,FA
_,450x450,BCP,□-450x450x25,450,450,25,87.5,392.8,308,112000,16.9,4980,6050,FA,,FA,FA,FA
_,450x450,BCP,□-450x450x28,450,450,28,98,432.3,339,121000,16.7,5360,6580,FA,,FA,FA,FA
_,450x450,BCP,□-450x450x32,450,450,32,112,482.3,379,130000,16.4,5780,7210,FA,,FA,FA,FA
*,500x500,BCP,□-500x500x12,500,500,12,42,226.8,178,88400,19.7,3540,4100,FC,,FD,,
_,500x500,BCP,□-500x500x16,500,500,16,56,296.6,233,113000,19.5,4510,5290,FA,,FB,,
_,500x500,BCP,□-500x500x19,500,500,19,66.5,347,272,130000,19.3,5180,6130,FA,,FA,FB,FB
